symbol,stage,detail
3IINFOLTD,S1_base_short,base 2d — rolling high
ABSLNN50ET,S0_fund,ETF/index fund
ACCENTMIC,S0_series,SM
AIMTRON,S0_series,SM
AKANKSHA,S0_series,ST
ALPHA,S1_red_close,-0.58% on the day
ALPL30IETF,S0_fund,ETF/index fund
AMBALALSA,S1_base_short,base 2d — rolling high
AMBIKCO,S1_base_short,base 1d — rolling high
ARVSMART,S1_off_high,closed 5.8% off day high
ASTERDM,S1_base_short,base 1d — rolling high
ATALREAL,S1_base_short,base 1d — rolling high
ATHERENERG,S1_base_short,base 1d — rolling high
AUTOBEES,S0_fund,ETF/index fund
AUTOIETF,S0_fund,ETF/index fund
AVALON,S1_base_short,base 1d — rolling high
BIKEWO,S0_series,ST
BIRLACABLE,S0_series,BE
CHAVDA,S0_series,SM
CLSL,S0_series,SM
COMMITTED,S0_series,ST
CRAFTSMAN,S1_red_close,-1.48% on the day
CUPID,S1_base_short,base 1d — rolling high
DIACABS,S0_series,BE
DIFFNKG,S1_red_close,-0.20% on the day
DSKULKARNI,S0_series,BE
EBANK10,S1_red_close,-0.59% on the day
ELPROINTL,S1_base_short,base 3d — rolling high
EXIDEIND,S1_base_short,base 1d — rolling high
FERMENTA,S1_base_short,base 2d — rolling high
FILATEX,S1_base_short,base 1d — rolling high
FINIETF,S0_fund,ETF/index fund
GILT5BETA,S1_base_short,base 1d — rolling high
GOLDIAM,S1_red_close,-0.68% on the day
GRASIM,S1_base_short,base 4d — rolling high
GROWWCHEM,S1_red_close,-1.19% on the day
GULFPETRO,S0_series,BE
GULPOLY,S1_red_close,-1.07% on the day
HAPPYFORGE,S1_base_short,base 1d — rolling high
HDFCSML250,S1_red_close,-0.18% on the day
IMPEXFERRO,S0_series,BZ
INDOMIM,S1_red_close,-1.56% on the day
INDOTECH,S0_series,BE
IRISDOREME,S1_base_short,base 1d — rolling high
KRMAYURVED,S0_series,ST
LAMOSAIC,S0_series,ST
LCL,S1_red_close,-1.59% on the day
LIQUIDBETA,S0_fund,ETF/index fund
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LLOYDSME,S1_base_short,base 1d — rolling high
LTGILTBEES,S0_fund,ETF/index fund
MACPOWER,S1_base_short,base 1d — rolling high
MAKEINDIA,S1_base_short,base 1d — rolling high
MANAKSTEEL,S1_red_close,-4.99% on the day
MANCREDIT,S1_red_close,-3.98% on the day
MANIPALHOS,S1_base_short,base 2d — rolling high
MANORAMA,S1_off_high,closed 4.3% off day high
MARC,S0_series,SM
MARINE,S1_base_short,base 1d — rolling high
MEDANTA,S1_base_short,base 4d — rolling high
MIDCAP,S1_base_short,base 3d — rolling high
MIDSELIETF,S0_fund,ETF/index fund
MMFL,S1_off_high,closed 3.8% off day high
MOMMIDCAP,S1_base_short,base 1d — rolling high
MON50EQUAL,S0_fund,ETF/index fund
MONEXT50,S1_base_short,base 1d — rolling high
MONOLITH,S0_series,SM
MOOILGAS,S1_red_close,-0.44% on the day
MOTHERSON,S1_base_short,base 1d — rolling high
MPSLTD,S1_base_short,base 2d — rolling high
MVELECTRO,S1_red_close,-4.66% on the day
MWL,S1_red_close,-1.84% on the day
NESTLEIND,S1_base_short,base 3d — rolling high
NEULANDLAB,S1_base_short,base 1d — rolling high
NEXT50BETA,S1_base_short,base 2d — rolling high
OBSCP,S0_series,SM
ORTEL,S0_series,BZ
PAYTM,S1_red_close,-0.03% on the day
PGIL,S1_off_high,closed 3.4% off day high
PRUDENT,S1_base_short,base 3d — rolling high
RAIN,S1_red_close,-8.44% on the day
RATNAVEER,S1_off_high,closed 5.8% off day high
RBA,S1_base_short,base 2d — rolling high
RHETAN,S1_base_short,base 1d — rolling high
RKFORGE,S1_base_short,base 1d — rolling high
RPPL,S1_off_high,closed 3.2% off day high
RSL,S1_base_short,base 2d — rolling high
SALSTEEL,S1_red_close,-0.27% on the day
SANGHVIMOV,S1_base_short,base 1d — rolling high
SANSERA,S1_base_short,base 1d — rolling high
SCPL,S1_red_close,-1.71% on the day
SICAGEN,S1_base_short,base 1d — rolling high
SIGIND,S1_red_close,-2.91% on the day
SIGNORIA,S0_series,ST
SIMCA,S0_series,SM
SKYGOLD,S1_base_short,base 1d — rolling high
SUDEEPPHRM,S1_red_close,-1.45% on the day
SUNDRMFAST,S1_base_short,base 1d — rolling high
SUPRAJIT,S1_red_close,-2.00% on the day
SWANDEF,S0_series,BE
TAALTECH,S1_off_high,closed 4.9% off day high
TANKUP,S0_series,ST
TATATECH,S1_base_short,base 1d — rolling high
TAURIAN,S0_series,SM
TFCILTD,S1_base_short,base 2d — rolling high
THELEELA,S1_base_short,base 1d — rolling high
TVSMOTOR,S1_base_short,base 2d — rolling high
UEL,S1_base_short,base 1d — rolling high
UFBL,S1_red_close,-0.85% on the day
ULTRAMAR,S1_off_high,closed 14.2% off day high
UNIMECH,S1_base_short,base 1d — rolling high
UTLSOLAR,S1_red_close,-3.03% on the day
UYFINCORP,S1_off_high,closed 8.8% off day high
VARROC,S1_off_high,closed 3.9% off day high
VIVIDEL,S0_series,ST
VIVO,S0_series,SM
WELCORP,S1_base_short,base 1d — rolling high
WORTHPERI,S1_off_high,closed 4.0% off day high
WSTCSTPAPR,S1_base_short,base 1d — rolling high
SBIMIDMOM,S0_fund,ETF/index fund
PRSMJOHNSN,S1_red_close,-3.81% on the day
AEPL,S0_turnover,Rs 2.0 cr
GRINFRA,S1_red_close,-2.51% on the day
ARCHIDPLY,S0_turnover,Rs 2.6 cr
SANDESH,S1_red_close,-4.02% on the day
IXIGO,S1_red_close,-12.91% on the day
GUJTHEM,S1_red_close,-0.80% on the day
ATLASCYCLE,S0_turnover,Rs 0.7 cr
BANKADD,S0_fund,ETF/index fund
SAHLIBHFI,S0_turnover,Rs 0.4 cr
SMALLGROWW,S2_data,DATA UNAVAILABLE (39 bars)
ALBERTDAVD,S2_no_new_high,day high 809.90 < 52w high 918.80
INDRAMEDCO,S1_off_high,closed 6.2% off day high
TRIDENT,S2_no_new_high,day high 25.91 < 52w high 30.94
GOCLCORP,S2_no_new_high,day high 449.65 < 52w high 459.90
TATAINVEST,S2_no_new_high,day high 713.45 < 52w high 1184.70
ENRIN,S2_no_new_high,day high 3735.00 < 52w high 3968.00
